EC 7897	EC 7897	23/09/2026	07:35	07:31	 M7	CANARY ISLANDS (TFS)	International	Active	 Detail
WA 1797	WA 1797	23/09/2026	06:55	07:36	 B3	DUSSELDORF (DUS)	International	Landed	 Detail
BA 445	BA 445	23/09/2026	07:45	07:36	 D24	ENGLAND (LHR)	International	Landed	 Detail
HV 6411	HV 6411	23/09/2026	07:30	07:38	 C18	CAMPANIA (NAP)	International	Active	 Detail
WA 1135	WA 1135	23/09/2026	07:40	07:38	 D16	LEINSTER (DUB)	International	Landed	 Detail
OR 3055	OR 3055	23/09/2026	07:35	07:39	 D41	MUGLA (DLM)	International	Active	 Detail
CJ 8450	CJ 8450	23/09/2026	07:45	07:43	 D26	LONDON CITY AIRPORT (LCY)	International	Landed	 Detail
AF 1427	AF 1427	23/09/2026	07:45	07:50	 B24	RHONE-ALPES (LYS)	International	Landed	 Detail
WA 1229	WA 1229	23/09/2026	07:45	07:55	 B26	VAESTRA GOETALAND (GOT)	International	Landed	 Detail
WA 1827	WA 1827	23/09/2026	08:00	08:01	 B3	BADEN-WUERTTEMBERG (STR)	International	Landed	 Detail
LH 1003	LH 1003	23/09/2026	08:00	08:02	 B35	HESSE (FRA)	International	Landed	 Detail
WA 1029	WA 1029	23/09/2026	08:00	08:04	 D6	ENGLAND (MAN)	International	Landed	 Detail
KL 1511	KL 1511	23/09/2026	08:05	08:07	 D86	CATALONIA (BCN)	International	Active	 Detail
WA 979	WA 979	23/09/2026	07:50	08:08	 D42	LONDON CITY AIRPORT (LCY)	International	Landed	 Detail
WA 935	WA 935	23/09/2026	07:55	08:09	 D6	SCOTLAND (GLA)	International	Active	 Detail
KL 1405	KL 1405	23/09/2026	08:10	08:11	 C9	PARIS (CDG)	International	Landed	 Detail
LH 2311	LH 2311	23/09/2026	08:15	08:13	 B31	BAVARIA (MUC)	International	Landed	 Detail
ZQ 1173	ZQ 1173	23/09/2026	08:20	08:20	 B20	ROGALAND (SVG)	International	Active	 Detail
WA 1291	WA 1291	23/09/2026	08:30	08:29	 B30	SOUTH DENMARK (BLL)	International	Active	 Detail
KL 1613	KL 1613	23/09/2026	08:25	08:30	 C6	LOMBARDY (LIN)	International	Canceled	 Detail
WA 1839	WA 1839	23/09/2026	08:30	08:31	 B3	BAVARIA (NUE)	International	Active	 Detail
WA 1943	WA 1943	23/09/2026	08:30	08:32	 B32	BASEL (BSL)	International	Active	 Detail
KL 1041	KL 1041	23/09/2026	08:20	08:33	 D44	ENGLAND (BHX)	International	Active	 Detail
ZQ 911	ZQ 911	23/09/2026	08:10	08:36	 D6	SCOTLAND (ABZ)	International	Active	 Detail
WA 1815	WA 1815	23/09/2026	08:25	08:36	 B28	HESSE (FRA)	International	Landed	 Detail
KL 1003	KL 1003	23/09/2026	08:35	08:38	 D22	ENGLAND (LHR)	International	Active	 Detail
WA 953	WA 953	23/09/2026	08:25	08:39	 D6	ENGLAND (NCL)	International	Active	 Detail
KL 1363	KL 1363	23/09/2026	08:40	08:41	 C6	PEST (BUD)	International	Active	 Detail
WA 1283	WA 1283	23/09/2026	08:40	08:44	 B16	NORTH DENMARK (AAL)	International	Active	 Detail
KL 1953	KL 1953	23/09/2026	08:35	08:46	 C13	ATTICA (ATH)	International	Active	 Detail
WA 1075	WA 1075	23/09/2026	08:35	08:47	 D6	ENGLAND (BRS)	International	Active	 Detail
KL 1217	KL 1217	23/09/2026	08:45	08:51	 B27	STOCKHOLM (ARN)	International	Active	 Detail
EC 7887	EC 7887	23/09/2026	07:10	08:56	 M5	BALEARIC ISLANDS (PMI)	International	Active	 Detail
HV 6147	HV 6147	23/09/2026	09:00	09:00	 C23	ALICANTE (ALC)	International	Scheduled	 Detail
WA 1709	WA 1709	23/09/2026	09:00	09:00	 B7	LUXEMBOURG (LUX)	International	Active	 Detail
WA 947	WA 947	23/09/2026	08:45	09:01	 D6	NORTHERN IRELAND (BHD)	International	Active	 Detail
KL 1579	KL 1579	23/09/2026	08:55	09:01	 C7	LISBON (LIS)	International	Active	 Detail
UA 71	UA 71	23/09/2026	09:10	09:03	 E2	NEW JERSEY (EWR)	International	Active	 Detail
WA 1087	WA 1087	23/09/2026	09:00	09:04	 D6	WALES (CWL)	International	Active	 Detail
WA 1703	WA 1703	23/09/2026	08:55	09:05	 B26	FLANDERS (BRU)	International	Active	 Detail
EC 7805	EC 7805	23/09/2026	08:15	09:06	 M4	LOMBARDY (LIN)	International	Active	 Detail
KL 1353	KL 1353	23/09/2026	09:05	09:06	 C14	CENTRAL BOHEMIA (PRG)	International	Active	 Detail
WA 981	WA 981	23/09/2026	08:45	09:07	 D42	LONDON CITY AIRPORT (LCY)	International	Active	 Detail
WA 1651	WA 1651	23/09/2026	08:40	09:09	 B30	TUSCANY (FLR)	International	Active	 Detail
EC 7877	EC 7877	23/09/2026	08:35	09:10	 M3	MALAGA (AGP)	International	Active	 Detail
U2 2512	U2 2512	23/09/2026	08:45	09:10	 H1	ENGLAND (LTN)	International	Active	 Detail
DL 71	DL 71	23/09/2026	09:15	09:10	 F8	ATLANTA (ATL)	International	Active	 Detail
KL 713	KL 713	23/09/2026	09:00	09:13	 E5	PARA (PBM)	International	Active	 Detail
WA 1523	WA 1523	23/09/2026	09:10	09:13	 B34	BASQUE COUNTRY (BIO)	International	Active	 Detail
WA 1449	WA 1449	23/09/2026	09:05	09:15	 B36	MIDI-PYRENEES (TLS)	International	Active	 Detail
EC 8671	EC 8671	23/09/2026	07:00	09:17	 H6	ENGLAND (LGW)	International	Scheduled	 Detail
KL 1629	KL 1629	23/09/2026	09:10	09:17	 D84	VENETO (VCE)	International	Active	 Detail
WA 1069	WA 1069	23/09/2026	08:35	09:19	 D6	ENGLAND (SOU)	International	Active	 Detail
WA 971	WA 971	23/09/2026	09:20	09:20	 D6	ENGLAND (HUY)	International	Scheduled	 Detail
KL 1571	KL 1571	23/09/2026	09:10	09:21	 C8	PORTO (OPO)	International	Active	 Detail
KL 1323	KL 1323	23/09/2026	09:15	09:21	 C15	LESSER POLAND VOIVODESHIP (KRK)	International	Active	 Detail
WA 1829	WA 1829	23/09/2026	09:20	09:22	 B22	BADEN-WUERTTEMBERG (STR)	International	Scheduled	 Detail
DL 133	DL 133	23/09/2026	09:20	09:23	 F4	MICHIGAN (DTW)	International	Active	 Detail
WA 1019	WA 1019	23/09/2026	09:20	09:24	 D6	ENGLAND (LBA)	International	Active	 Detail
WA 1055	WA 1055	23/09/2026	09:20	09:24	 D6	ENGLAND (NWI)	International	Active	 Detail
WA 1151	WA 1151	23/09/2026	09:25	09:25	 B30	NORD-TRONDELAG (TRD)	International	Scheduled	 Detail
KL 1199	KL 1199	23/09/2026	09:20	09:30	 B3	AKERSHUS (OSL)	International	Scheduled	 Detail
WA 983	WA 983	23/09/2026	09:30	09:30	 D6	LONDON CITY AIRPORT (LCY)	International	Scheduled	 Detail
WA 1787	WA 1787	23/09/2026	09:25	09:31	 B24	LOWER SAXONY (HAJ)	International	Scheduled	 Detail
WA 1983	WA 1983	23/09/2026	09:30	09:31	 D42	CENTRAL SERBIA (BEG)	International	Scheduled	 Detail
KL 1441	KL 1441	23/09/2026	09:25	09:33	 C22	AQUITAINE (BOD)	International	Scheduled	 Detail
EC 3854	EC 3854	23/09/2026	08:45	09:35	 M2	LOMBARDY (MXP)	International	Scheduled	 Detail
KL 1773	KL 1773	23/09/2026	08:50	09:35	 B8	BERLIN (BER)	International	Scheduled	 Detail
WA 913	WA 913	23/09/2026	09:30	09:35	 D6	SCOTLAND (ABZ)	International	Scheduled	 Detail
AF 1241	AF 1241	23/09/2026	09:35	09:35	 C9	PARIS (CDG)	International	Scheduled	 Detail
EC 5406	EC 5406	23/09/2026	09:35	09:35	 M5	LOMBARDY (LIN)	International	Scheduled	 Detail
EI 603	EI 603	23/09/2026	09:35	09:35	 D16	LEINSTER (DUB)	International	Scheduled	 Detail
KL 1919	KL 1919	23/09/2026	09:35	09:35	 D68	ZURICH (ZRH)	International	Scheduled	 Detail
WA 1123	WA 1123	23/09/2026	09:35	09:35	 D6	MUNSTER (ORK)	International	Scheduled	 Detail
WA 1761	WA 1761	23/09/2026	09:35	09:35	 B20	BREMEN (BRE)	International	Scheduled	 Detail
KL 1465	KL 1465	23/09/2026	09:30	09:40	 C10	PROVENCE-ALPES-COTE D'AZUR (MRS)	International	Scheduled	 Detail
HV 5807	HV 5807	23/09/2026	09:40	09:40	 B5	CENTRAL MACEDONIA (SKG)	International	Scheduled	 Detail
KL 1851	KL 1851	23/09/2026	09:40	09:40	 C11	BAVARIA (MUC)	International	Scheduled	 Detail
WA 1303	WA 1303	23/09/2026	09:40	09:40	 B26	POMERANIAN VOIVODESHIP (GDN)	International	Scheduled	 Detail
KL 601	KL 601	23/09/2026	09:50	09:41	 E6	LOS ANGELES (LAX)	International	Scheduled	 Detail
KL 1603	KL 1603	23/09/2026	09:30	09:45	 D61	LATIUM (FCO)	International	Scheduled	 Detail
