FZ 989	FZ 989	23/09/2026	09:35	09:23	 F7	MOSKOVSKAYA (VKO)	International	Active	 Detail
EK 133	EK 133	23/09/2026	08:30	09:33	 C5	MOSKOVSKAYA (DME)	International	Active	 Detail
EK 392	EK 392	23/09/2026	09:35	09:33	 A7	HO CHI MINH CITY (SGN)	International	Active	 Detail
EK 304	EK 304	23/09/2026	09:40	09:34	 C4	SHANGHAI SHI (PVG)	International	Active	 Detail
EK 55	EK 55	23/09/2026	08:40	09:39	 A18	DUSSELDORF (DUS)	International	Active	 Detail
EK 77	EK 77	23/09/2026	08:40	09:43	 C11	PROVENCE-ALPES-COTE D'AZUR (NCE)	International	Active	 Detail
EK 372	EK 372	23/09/2026	09:40	09:43	 C19	BANGKOK (BKK)	International	Active	 Detail
EK 516	EK 516	23/09/2026	09:50	09:45	 B20	HARYANA (DEL)	International	Active	 Detail
EK 652	EK 652	23/09/2026	09:45	09:46	 A6	MAALE (MLE)	International	Active	 Detail
FZ 931	FZ 931	23/09/2026	08:50	09:48	 F11	MINTAQAT TABUK (NUM)	International	Active	 Detail
FZ 909	FZ 909	23/09/2026	09:35	09:50	 F6	MAKKAH (JED)	International	Active	 Detail
EK 111	EK 111	23/09/2026	09:55	09:54	 C12	PEST (BUD)	International	Active	 Detail
EK 225	EK 225	23/09/2026	08:25	09:55	 B21	CALIFORNIA (SFO)	International	Active	 Detail
6E 1482	6E 1482	23/09/2026	09:55	09:58	 D13	CHANDIGARH (IXC)	International	Active	 Detail
EK 81	EK 81	23/09/2026	08:55	10:01	 B9	RHONE-ALPES (LYS)	International	Active	 Detail
EK 352	EK 352	23/09/2026	10:00	10:04	 C22	SINGAPORE (SIN)	International	Active	 Detail
EK 73	EK 73	23/09/2026	08:20	10:06	 A8	PARIS (CDG)	International	Active	 Detail
EK 380	EK 380	23/09/2026	10:00	10:06	 B25	TUEN MUN (HKG)	International	Active	 Detail
EK 775	EK 775	23/09/2026	10:15	10:08	 A14	KWAZULU-NATAL (DUR)	International	Active	 Detail
FZ 751	FZ 751	23/09/2026	09:15	10:10	 F10	ISTANBUL (SAW)	International	Active	 Detail
EK 763	EK 763	23/09/2026	09:55	10:11	 A11	GAUTENG (JNB)	International	Active	 Detail
FZ 761	FZ 761	23/09/2026	09:35	10:15	 F5	FEDERATION OF BOSNIA AND HERZEGOVINA (SJJ)	International	Active	 Detail
EK 127	EK 127	23/09/2026	09:10	10:17	 B22	LOWER AUSTRIA (VIE)	International	Active	 Detail
EK 235	EK 235	23/09/2026	09:55	10:17	 A17	ILLINOIS (ORD)	International	Active	 Detail
EK 362	EK 362	23/09/2026	10:15	10:19	 C17	GUANGZHOU (CAN)	International	Active	 Detail
EK 406	EK 406	23/09/2026	10:05	10:21	 A10	VICTORIA (MEL)	International	Active	 Detail
EK 783	EK 783	23/09/2026	10:15	10:21	 B14	LAGOS (LOS)	International	Active	 Detail
FZ 1687	FZ 1687	23/09/2026	09:50	10:24	 B1	ZANZIBAR URBAN/WEST (ZNZ)	International	Active	 Detail
FZ 1147	FZ 1147	23/09/2026	09:15	10:25	 B2	BANGHAZI (BEN)	International	Active	 Detail
EK 396	EK 396	23/09/2026	10:25	10:26	 A18	PHUKET (HKT)	International	Active	 Detail
EK 778	EK 778	23/09/2026	10:25	10:28	 A19	WESTERN CAPE (CPT)	International	Active	 Detail
EK 49	EK 49	23/09/2026	09:10	10:30	 C20	BAVARIA (MUC)	International	Active	 Detail
EK 586	EK 586	23/09/2026	10:35	10:30	 B12	DHAKA (DAC)	International	Active	 Detail
EK 448	EK 448	23/09/2026	10:05	10:31	 A15	AUCKLAND (AKL)	International	Active	 Detail
6E 1452	6E 1452	23/09/2026	10:40	10:41	 D3	MAHARASHTRA (BOM)	International	Active	 Detail
EK 412	EK 412	23/09/2026	10:10	10:42	 A12	SYDNEY (SYD)	International	Active	 Detail
EK 342	EK 342	23/09/2026	10:25	10:42	 A16	NEGERI SEMBILAN (KUL)	International	Active	 Detail
EK 97	EK 97	23/09/2026	09:10	10:43	 C13	LATIUM (FCO)	International	Active	 Detail
EK 719	EK 719	23/09/2026	10:30	10:43	 A5	NAIROBI AREA (NBO)	International	Active	 Detail
EK 723	EK 723	23/09/2026	10:40	10:45	 C9	ADIS ABEBA (ADD)	International	Active	 Detail
GF 503	GF 503	23/09/2026	11:00	10:46	 D17	MUHARRAQ (BAH)	International	Active	 Detail
EK 211	EK 211	23/09/2026	09:30	10:48	 B11	GEORGE BUSH INTERCONTINENTAL AIRPORT (IAH)	International	Active	 Detail
EK 703	EK 703	23/09/2026	10:35	10:49	 B19	GRAND PORT (MRU)	International	Active	 Detail
FZ 1211	FZ 1211	23/09/2026	09:55	10:50	 C15	CENTRAL DISTRICT (TLV)	International	Active	 Detail
EK 358	EK 358	23/09/2026	10:50	10:51	 C8	WEST JAVA (CGK)	International	Active	 Detail
EK 308	EK 308	23/09/2026	10:40	10:52	 C6	BEIJING CAPITAL INTERNATIONAL AIRPORT (PEK)	International	Active	 Detail
FZ 1945	FZ 1945	23/09/2026	10:45	10:55	 B5	TOSHKENT SHAHRI (TAS)	International	Active	 Detail
FZ 841	FZ 841	23/09/2026	10:55	10:55	 F8	AR RIYAD (RUH)	International	Scheduled	 Detail
EK 434	EK 434	23/09/2026	10:35	10:56	 A23	QUEENSLAND (BNE)	International	Active	 Detail
EK 29	EK 29	23/09/2026	09:40	10:59	 B15	ENGLAND (LHR)	International	Active	 Detail
FZ 1789	FZ 1789	23/09/2026	09:20	11:00	 B4	SENCUR (LJU)	International	Active	 Detail
FZ 1757	FZ 1757	23/09/2026	09:55	11:00	 B2	SOFIA-CAPITAL (SOF)	International	Scheduled	 Detail
FZ 971	FZ 971	23/09/2026	10:15	11:00	 F10	KRASNODARSKIY (AER)	International	Scheduled	 Detail
FZ 1335	FZ 1335	23/09/2026	11:00	11:00	 B1	BANGKOK (DMK)	International	Scheduled	 Detail
WY 604	WY 604	23/09/2026	11:00	11:00	 D1	MUHAFAZAT MASQAT (MCT)	International	Scheduled	 Detail
EK 87	EK 87	23/09/2026	08:50	11:01	 C16	ZURICH (ZRH)	International	Active	 Detail
EK 328	EK 328	23/09/2026	11:00	11:01	 A17	GUANGDONG (SZX)	International	Active	 Detail
EK 209	EK 209	23/09/2026	10:50	11:02	 B23	ATTICA (ATH)	International	Active	 Detail
FZ 1797	FZ 1797	23/09/2026	11:10	11:10	 B2	ILFOV (OTP)	International	Scheduled	 Detail
EK 205	EK 205	23/09/2026	09:35	11:13	 A9	LOMBARDY (MXP)	International	Active	 Detail
FZ 201	FZ 201	23/09/2026	10:15	11:14	 F7	MAYORALITY OF BAGHDAD (BGW)	International	Active	 Detail
FZ 1793	FZ 1793	23/09/2026	09:30	11:19	 B5	ZAGREBACKA (ZAG)	International	Active	 Detail
FZ 1745	FZ 1745	23/09/2026	09:25	11:20	 B4	CENTRAL SERBIA (BEG)	International	Scheduled	 Detail
EK 123	EK 123	23/09/2026	10:40	11:20	 A20	ISTANBUL (IST)	International	Scheduled	 Detail
FZ 869	FZ 869	23/09/2026	11:20	11:20	 F9	EASTERN PROVINCE (DMM)	International	Scheduled	 Detail
FZ 873	FZ 873	23/09/2026	11:20	11:20	 F12	MAKKAH (TIF)	International	Scheduled	 Detail
EK 93	EK 93	23/09/2026	09:45	11:25	 B31	EMILIA-ROMAGNA (BLQ)	International	Scheduled	 Detail
6E 1468	6E 1468	23/09/2026	11:25	11:25	 D11	KARNATAKA (IXE)	International	Scheduled	 Detail
6E 1476	6E 1476	23/09/2026	11:25	11:25	 D5	KERALA (COK)	International	Scheduled	 Detail
EK 31	EK 31	23/09/2026	11:25	11:25	 A22	ENGLAND (LHR)	International	Scheduled	 Detail
XY 202	XY 202	23/09/2026	11:25	11:25	 D12	AR RIYAD (RUH)	International	Scheduled	 Detail
FZ 715	FZ 715	23/09/2026	10:25	11:30	 F12	ARMAVIR (EVN)	International	Scheduled	 Detail
SV 563	SV 563	23/09/2026	10:40	11:30	 D14	AR RIYAD (RUH)	International	Scheduled	 Detail
FZ 711	FZ 711	23/09/2026	11:35	11:35	 F6	DIDI LILO (TBS)	International	Scheduled	 Detail
FZ 307	FZ 307	23/09/2026	11:45	11:45	 F7	KABUL (KBL)	International	Scheduled	 Detail
QR 1007	QR 1007	23/09/2026	11:45	11:45	 D15	BALADIYAT AD DAWHAH (DOH)	International	Scheduled	 Detail
VRH 6801	VRH 6801	23/09/2026	11:45	11:45	 F2	TEHRAN (IKA)	International	Scheduled	 Detail
FZ 549	FZ 549	23/09/2026	11:50	11:50	 F8	CMB (CMB)	International	Scheduled	 Detail
J9 122	J9 122	23/09/2026	11:50	11:50	 D19	AL FARWANIYAH (KWI)	International	Scheduled	 Detail
EK 921	EK 921	23/09/2026	12:00	12:00	 C14	CAIRO (CAI)	International	Scheduled	 Detail
FZ 1165	FZ 1165	23/09/2026	12:00	12:00	 B2	BINH THUAN (PHH)	International	Scheduled	 Detail
6E 1462	6E 1462	23/09/2026	11:50	12:05	 D2	HARYANA (DEL)	International	Scheduled	 Detail
FZ 1081	FZ 1081	23/09/2026	12:10	12:10	 C15	CENTRAL DISTRICT (TLV)	International	Scheduled	 Detail
SG 5158	SG 5158	23/09/2026	12:15	12:15	 D2	RAJASTHAN (JAI)	International	Scheduled	 Detail
EK 330	EK 330	23/09/2026	12:20	12:20	 B30	METRO MANILA (MNL)	International	Scheduled	 Detail
FZ 335	FZ 335	23/09/2026	12:25	12:25	 F9	SINDH (KHI)	International	Scheduled	 Detail
BS 344	BS 344	23/09/2026	12:30	12:30	 D8	CHITTAGONG (CGP)	International	Scheduled	 Detail
HY 334	HY 334	23/09/2026	12:30	12:30	 D13	TOSHKENT SHAHRI (TAS)	International	Scheduled	 Detail
RQ 966	RQ 966	23/09/2026	12:35	12:35	 D17	KHYBER PAKHTUNKHWA (KHT)	International	Scheduled	 Detail
SG 5023	SG 5023	23/09/2026	04:15	12:40	 D21	MAHARASHTRA (BOM)	International	Scheduled	 Detail
FZ 1595	FZ 1595	23/09/2026	12:40	12:40	 B2	KATHMANDU (KTM)	International	Scheduled	 Detail
ME 427	ME 427	23/09/2026	12:45	12:45	 D3	MONT-LIBAN (BEY)	International	Scheduled	 Detail
F3 506	F3 506	23/09/2026	12:50	12:50	 D14	AR RIYAD (RUH)	International	Scheduled	 Detail
IX 748	IX 748	23/09/2026	12:50	12:50	 F3	KERALA (CNN)	International	Scheduled	 Detail
6E 1508	6E 1508	23/09/2026	12:55	12:55	 D20	GUJARAT (STV)	International	Scheduled	 Detail
GF 505	GF 505	23/09/2026	12:55	12:55	 D18	MUHARRAQ (BAH)	International	Scheduled	 Detail
