CZ 8065	CZ 8065	23/09/2026	07:15	06:38		GUANGZHOU (CAN)	International	Landed	 Detail
TK 6899	TK 6899	23/09/2026	07:20	06:58		SINGAPORE (SIN)	International	Landed	 Detail
VF 180	VF 180	23/09/2026	07:10	06:59		BAKI (GYD)	International	Landed	 Detail
TK 3255	TK 3255	23/09/2026	07:30	07:04		KONYA (KYA)	Domestic	Landed	 Detail
VF 262	VF 262	23/09/2026	07:30	07:11		MONT-LIBAN (BEY)	International	Landed	 Detail
TK 144	TK 144	23/09/2026	07:15	07:18		DUBAI (DXB)	International	Landed	 Detail
PC 633	PC 633	23/09/2026	07:25	07:19		SOUTH SINAI (SSH)	International	Landed	 Detail
PC 4215	PC 4215	23/09/2026	07:40	07:24		ANTALYA (AYT)	Domestic	Landed	 Detail
TK 214	TK 214	23/09/2026	07:15	07:26		AR RIYAD (RUH)	International	Landed	 Detail
TK 280	TK 280	23/09/2026	07:30	07:28		BARTLETTS (BSZ)	International	Landed	 Detail
PC 623	PC 623	23/09/2026	07:50	07:29		RED SEA (HRG)	International	Landed	 Detail
PC 2029	PC 2029	23/09/2026	08:00	07:34		ANTALYA (AYT)	Domestic	Landed	 Detail
PC 2099	PC 2099	23/09/2026	07:50	07:37		CASTELO BRANCO (COV)	International	Landed	 Detail
SU 2170	SU 2170	23/09/2026	06:00	07:38		MOSCOW (SVO)	International	Landed	 Detail
A3 434	A3 434	23/09/2026	07:35	07:39		CRETE (HER)	International	Landed	 Detail
PC 687	PC 687	23/09/2026	07:55	07:42		AL MADINAH AL MUNAWWARAH (MED)	International	Landed	 Detail
PC 315	PC 315	23/09/2026	07:30	07:43		DIDI LILO (TBS)	International	Landed	 Detail
PC 551	PC 551	23/09/2026	08:00	07:45		ARMAVIR (EVN)	International	Landed	 Detail
TK 3323	TK 3323	23/09/2026	08:00	07:45		TRABZON (TZX)	Domestic	Landed	 Detail
PC 3306	PC 3306	23/09/2026	07:55	07:47		IZMIR (ADB)	Domestic	Landed	 Detail
PC 2811	PC 2811	23/09/2026	07:45	07:56		TRABZON (TZX)	Domestic	Landed	 Detail
MU 703	MU 703	23/09/2026	08:10	07:59		SHANGHAI SHI (PVG)	International	Landed	 Detail
TK 3259	TK 3259	23/09/2026	08:00	08:02		MALATYA (MLX)	Domestic	Landed	 Detail
PC 2679	PC 2679	23/09/2026	07:55	08:04		ANKARA (ESB)	Domestic	Landed	 Detail
PC 659	PC 659	23/09/2026	08:25	08:04		MAYORALITY OF BAGHDAD (BGW)	International	Landed	 Detail
TK 2303	TK 2303	23/09/2026	08:15	08:06		IZMIR (ADB)	Domestic	Landed	 Detail
PC 825	PC 825	23/09/2026	08:10	08:07		MUHARRAQ (BAH)	International	Landed	 Detail
PC 615	PC 615	23/09/2026	08:25	08:13		EASTERN PROVINCE (DMM)	International	Landed	 Detail
TK 759	TK 759	23/09/2026	08:25	08:13		DUBAI (DXB)	International	Landed	 Detail
TK 803	TK 803	23/09/2026	08:30	08:18		MAYORALITY OF BAGHDAD (BGW)	International	Landed	 Detail
VF 148	VF 148	23/09/2026	08:35	08:20		ARBIL (EBL)	International	Landed	 Detail
TK 132	TK 132	23/09/2026	08:50	08:20		ATLANTA (ATL)	International	Landed	 Detail
TK 693	TK 693	23/09/2026	08:30	08:21		CAIRO (CAI)	International	Landed	 Detail
CA 859	CA 859	23/09/2026	08:00	08:24		BEIJING CAPITAL INTERNATIONAL AIRPORT (PEK)	International	Landed	 Detail
W6 2429	W6 2429	23/09/2026	08:45	08:25		PEST (BUD)	International	Landed	 Detail
TK 805	TK 805	23/09/2026	08:25	08:26		ARBIL (EBL)	International	Landed	 Detail
PC 131	PC 131	23/09/2026	08:45	08:31		SINDH (KHI)	International	Landed	 Detail
PC 705	PC 705	23/09/2026	08:30	08:32		BARTLETTS (BSZ)	International	Landed	 Detail
TK 355	TK 355	23/09/2026	08:35	08:32		AKMOLA (NQZ)	International	Landed	 Detail
TK 377	TK 377	23/09/2026	08:20	08:37		DIDI LILO (TBS)	International	Landed	 Detail
TK 99	TK 99	23/09/2026	08:55	08:40		AL MADINAH AL MUNAWWARAH (MED)	International	Landed	 Detail
PC 2001	PC 2001	23/09/2026	09:00	08:40		ANTALYA (AYT)	Domestic	Landed	 Detail
3U 3827	3U 3827	23/09/2026	06:30	08:41		SICHUAN (TFU)	International	Landed	 Detail
GQ 670	GQ 670	23/09/2026	08:30	08:41		ATTICA (ATH)	International	Landed	 Detail
TK 339	TK 339	23/09/2026	08:35	08:45		BAKI (GYD)	International	Landed	 Detail
PC 691	PC 691	23/09/2026	09:00	08:48		AR RIYAD (RUH)	International	Landed	 Detail
A4 6073	A4 6073	23/09/2026	08:30	08:52		STAVROPOL'SKIY (MRV)	International	Landed	 Detail
SQ 392	SQ 392	23/09/2026	08:30	08:55		SINGAPORE (SIN)	International	Landed	 Detail
PC 741	PC 741	23/09/2026	08:40	08:55		DUBAI (DXB)	International	Landed	 Detail
PC 2265	PC 2265	23/09/2026	09:15	08:55		MUGLA (BJV)	Domestic	Landed	 Detail
TK 2531	TK 2531	23/09/2026	09:05	08:56		MUGLA (BJV)	Domestic	Landed	 Detail
TK 373	TK 373	23/09/2026	08:50	08:58		SAMARQAND (SKD)	International	Landed	 Detail
TK 2429	TK 2429	23/09/2026	09:10	09:02		ANTALYA (AYT)	Domestic	Landed	 Detail
TK 815	TK 815	23/09/2026	09:30	09:02		AMMAN (AMM)	International	Landed	 Detail
PC 2181	PC 2181	23/09/2026	09:05	09:04		IZMIR (ADB)	Domestic	Landed	 Detail
PC 747	PC 747	23/09/2026	09:05	09:04		SHARJAH (SHJ)	International	Landed	 Detail
PC 831	PC 831	23/09/2026	09:05	09:05		MUHAFAZAT MASQAT (MCT)	International	Active	 Detail
TK 349	TK 349	23/09/2026	08:55	09:08		BARTLETTS (BSZ)	International	Landed	 Detail
TK 182	TK 182	23/09/2026	10:20	09:09		QUINTANA ROO (CUN)	International	Landed	 Detail
TK 3021	TK 3021	23/09/2026	09:05	09:11		ANKARA (ESB)	Domestic	Landed	 Detail
PC 699	PC 699	23/09/2026	08:55	09:13		MAKKAH (JED)	International	Landed	 Detail
PC 407	PC 407	23/09/2026	09:05	09:13		ABU DHABI (AUH)	International	Landed	 Detail
TK 406	TK 406	23/09/2026	09:45	09:14		ST. PETERSBURG (LED)	International	Landed	 Detail
PC 2701	PC 2701	23/09/2026	09:15	09:15		KONYA (KYA)	Domestic	Landed	 Detail
UT 727	UT 727	23/09/2026	09:15	09:15		CHECHNYA (GRV)	International	Scheduled	 Detail
DV 485	DV 485	23/09/2026	09:20	09:20		ONGTUSTIK QAZAQSTAN (CIT)	International	Landed	 Detail
TK 365	TK 365	23/09/2026	09:30	09:20		TOSHKENT SHAHRI (TAS)	International	Landed	 Detail
J2 8103	J2 8103	23/09/2026	09:25	09:25		BAKI (GYD)	International	Active	 Detail
TK 2117	TK 2117	23/09/2026	09:10	09:26		ANKARA (ESB)	Domestic	Landed	 Detail
A3 990	A3 990	23/09/2026	09:35	09:29		ATTICA (ATH)	International	Landed	 Detail
JI* 4805	JI* 4805	23/09/2026	09:30	09:30		TEHRAN (IKA)	International	Active	 Detail
PC 229	PC 229	23/09/2026	09:30	09:30		AKMOLA (NQZ)	International	Active	 Detail
PC 2731	PC 2731	23/09/2026	09:30	09:30		KAYSERI (ASR)	Domestic	Active	 Detail
TBZ 6601	TBZ 6601	23/09/2026	09:00	09:35		EAST AZERBAIJAN (TBZ)	International	Active	 Detail
PC 101	PC 101	23/09/2026	09:35	09:35		ALMATY OBLYSY (ALA)	International	Active	 Detail
TK 2447	TK 2447	23/09/2026	10:00	09:36		ANTALYA (AYT)	Domestic	Landed	 Detail
PC 2135	PC 2135	23/09/2026	09:40	09:40		HATAY (HTY)	Domestic	Landed	 Detail
PC 711	PC 711	23/09/2026	09:45	09:45		OSH (OSS)	International	Active	 Detail
