Airline	Flight No	Date	Scheduled	Estimated	Gate	Arrival	Location	Status	Detail
TK 3	TK 3	23/09/2026	07:20	07:45	 D14	NEW YORK (JFK)	International	Active	 Detail
TK 1021	TK 1021	23/09/2026	07:25	07:45	 C1	FEDERATION OF BOSNIA AND HERZEGOVINA (SJJ)	International	Active	 Detail
TK 1923	TK 1923	23/09/2026	07:40	07:46	 E3	BASEL (BSL)	International	Active	 Detail
TK 1861	TK 1861	23/09/2026	07:40	07:47	 D7	LATIUM (FCO)	International	Active	 Detail
TK 187	TK 187	23/09/2026	07:35	07:49	 D12	VIRGINIA (IAD)	International	Active	 Detail
TK 1503	TK 1503	23/09/2026	07:45	07:49	 A1F	BAVARIA (NUE)	International	Active	 Detail
TK 1937	TK 1937	23/09/2026	07:40	07:50	 B1A	FLANDERS (BRU)	International	Active	 Detail
TK 1241	TK 1241	23/09/2026	07:50	07:50	 B5A	ENGLAND (STN)	International	Active	 Detail
TK 1061	TK 1061	23/09/2026	07:30	07:52	 F5A	SENCUR (LJU)	International	Active	 Detail
TK 1803	TK 1803	23/09/2026	07:40	07:52	 F9B	MIDI-PYRENEES (TLS)	International	Active	 Detail
TK 1407	TK 1407	23/09/2026	07:50	07:52	 A2A	VILNIUS COUNTY (VNO)	International	Active	 Detail
TK 1701	TK 1701	23/09/2026	07:50	07:54	 C3	BADEN-WUERTTEMBERG (STR)	International	Active	 Detail
TK 1907	TK 1907	23/09/2026	07:55	07:54	 B18A	ZURICH (ZRH)	International	Active	 Detail
TK 1883	TK 1883	23/09/2026	07:45	07:55	 D1	LOWER AUSTRIA (VIE)	International	Active	 Detail
TK 1321	TK 1321	23/09/2026	07:50	07:55	 F12B	EMILIA-ROMAGNA (BLQ)	International	Active	 Detail
TK 1981	TK 1981	23/09/2026	07:55	07:58	 A3A	ENGLAND (LGW)	International	Active	 Detail
TK 1085	TK 1085	23/09/2026	07:55	07:59	 A4B	MOJANOVICI (TGD)	International	Landed	 Detail
TK 1073	TK 1073	23/09/2026	08:00	08:00	 F1B	TIRANE (TIA)	International	Landed	 Detail
TK 1979	TK 1979	23/09/2026	07:50	08:01	 D13	ENGLAND (LHR)	International	Active	 Detail
TK 1853	TK 1853	23/09/2026	08:00	08:01	 D6	CATALONIA (BCN)	International	Active	 Detail
TK 2312	TK 2312	23/09/2026	08:00	08:02	 G1C	IZMIR (ADB)	Domestic	Landed	 Detail
TK 2126	TK 2126	23/09/2026	08:00	08:03	 G10A	ANKARA (ESB)	Domestic	Landed	 Detail
TK 1587	TK 1587	23/09/2026	07:55	08:06	 B10	HESSE (FRA)	International	Active	 Detail
TK 2592	TK 2592	23/09/2026	08:10	08:07	 G10B	ANTALYA (GZP)	Domestic	Landed	 Detail
TK 2504	TK 2504	23/09/2026	08:10	08:08	 G4B	MUGLA (BJV)	Domestic	Landed	 Detail
TK 2652	TK 2652	23/09/2026	08:10	08:08	 G3D	ERZINCAN (ERC)	Domestic	Active	 Detail
TK 2666	TK 2666	23/09/2026	08:10	08:08	 G6A	SIRNAK (NKT)	Domestic	Active	 Detail
TK 661	TK 661	23/09/2026	08:05	08:11	 A1H	ARIANA (TUN)	International	Active	 Detail
TK 2730	TK 2730	23/09/2026	08:10	08:11	 G1E	AGRI (AJI)	Domestic	Active	 Detail
TK 2200	TK 2200	23/09/2026	08:15	08:11	 G11B	KAHRAMANMARAS (KCM)	Domestic	Active	 Detail
TK 2252	TK 2252	23/09/2026	08:15	08:14	 G6B	HATAY (HTY)	Domestic	Active	 Detail
TK 2658	TK 2658	23/09/2026	08:15	08:15	 G1B	SIVAS (VAS)	Domestic	Landed	 Detail
BA 721	BA 721	23/09/2026	08:15	08:16	 A5B	ENGLAND (LHR)	International	Active	 Detail
TK 2842	TK 2842	23/09/2026	08:15	08:16	 G5A	SINOP (NOP)	Domestic	Landed	 Detail
TK 401	TK 401	23/09/2026	08:00	08:18	 A4E	ST. PETERSBURG (LED)	International	Active	 Detail
TK 179	TK 179	23/09/2026	08:00	08:19	 D11	LOS ANGELES (LAX)	International	Active	 Detail
TK 2002	TK 2002	23/09/2026	08:15	08:19	 G3J	NEVSEHIR (NAV)	Domestic	Landed	 Detail
TK 2848	TK 2848	23/09/2026	08:15	08:19	 G1G	ORDU (OGU)	Domestic	Active	 Detail
TK 2674	TK 2674	23/09/2026	08:20	08:20	 G9B	MARDIN (MQM)	Domestic	Active	 Detail
TK 2458	TK 2458	23/09/2026	08:20	08:21	 G1D	CASTELO BRANCO (COV)	International	Active	 Detail
TK 2820	TK 2820	23/09/2026	08:20	08:21	 G5B	TRABZON (TZX)	Domestic	Active	 Detail
TK 651	TK 651	23/09/2026	07:55	08:22	 F8A	ALGER (ALG)	International	Active	 Detail
TK 2736	TK 2736	23/09/2026	08:20	08:22	 G8B	KASTAMONU (KFS)	Domestic	Active	 Detail
TK 2582	TK 2582	23/09/2026	08:20	08:23	 G8A	TOKAT (TJK)	Domestic	Landed	 Detail
TK 2682	TK 2682	23/09/2026	08:25	08:25	 G1F	BATMAN (BAL)	Domestic	Active	 Detail
PC 3307	PC 3307	23/09/2026	08:30	08:25	 G7B	IZMIR (ADB)	Domestic	Landed	 Detail
TK 2606	TK 2606	23/09/2026	08:25	08:26	 G3G	DIYARBAKIR (DIY)	Domestic	Active	 Detail
TK 2012	TK 2012	23/09/2026	08:25	08:27	 G11A	KAYSERI (ASR)	Domestic	Active	 Detail
TK 2222	TK 2222	23/09/2026	08:20	08:28	 G3E	GAZIANTEP (GZT)	Domestic	Active	 Detail
TK 2554	TK 2554	23/09/2026	08:10	08:31	 G9A	MUGLA (DLM)	Domestic	Active	 Detail
A3 441	A3 441	23/09/2026	08:25	08:34	 A6B	SOUTH AEGEAN (JMK)	International	Active	 Detail
TK 2410	TK 2410	23/09/2026	08:25	08:35	 G3A	ANTALYA (AYT)	Domestic	Active	 Detail
TK 2692	TK 2692	23/09/2026	08:20	08:40	 G3B	MUS (MSR)	Domestic	Active	 Detail
TK 2746	TK 2746	23/09/2026	08:15	08:42	 G1H	VAN (VAN)	Domestic	Active	 Detail
SU 2171	SU 2171	23/09/2026	07:30	08:45	 A10A	MOSCOW (SVO)	International	Active	 Detail
TK 378	TK 378	23/09/2026	08:45	08:46	 F6B	DIDI LILO (TBS)	International	Active	 Detail
TK 380	TK 380	23/09/2026	08:50	08:48	 B7B	DIDI LILO (TBS)	International	Active	 Detail
TK 2714	TK 2714	23/09/2026	08:20	08:56	 G3H	KARS (KSY)	Domestic	Active	 Detail
SM 304	SM 304	23/09/2026	09:00	08:58	 A7A	CAIRO (CAI)	International	Active	 Detail
W6 2430	W6 2430	23/09/2026	09:25	09:18	 A5A	PEST (BUD)	International	Active	 Detail
SU 2139	SU 2139	23/09/2026	09:00	09:22	 A3B	MOSCOW (SVO)	International	Active	 Detail
TK 1847	TK 1847	23/09/2026	09:25	09:25	 F4A	ATTICA (ATH)	International	Scheduled	 Detail
TK 417	TK 417	23/09/2026	09:35	09:27	 A1A	MOSKOVSKAYA (VKO)	International	Active	 Detail
A4 5072	A4 5072	22/09/2026	20:50	09:30	 A7B	KRASNODARSKIY (AER)	International	Scheduled	 Detail
GQ 671	GQ 671	23/09/2026	09:30	09:30	 A2B	ATTICA (ATH)	International	Scheduled	 Detail
TK 800	TK 800	23/09/2026	09:40	09:40	 D10	CUNDINAMARCA (BOG)	International	Scheduled	 Detail
TK 2412	TK 2412	23/09/2026	09:45	09:45	 G3C	ANTALYA (AYT)	Domestic	Scheduled	 Detail
TK 2506	TK 2506	23/09/2026	09:50	09:50	 G1F	MUGLA (BJV)	Domestic	Scheduled	 Detail
TK 1669	TK 1669	23/09/2026	09:55	09:55	 B9B	HAMBURG (HAM)	International	Scheduled	 Detail
TBZ 6602	TBZ 6602	23/09/2026	10:00	10:00	 B9A	EAST AZERBAIJAN (TBZ)	International	Scheduled	 Detail
TK 1357	TK 1357	23/09/2026	10:00	10:00	 A10B	MADRID (MAD)	International	Scheduled	 Detail
TK 1641	TK 1641	23/09/2026	10:00	10:00	 A1E	BAVARIA (MUC)	International	Scheduled	 Detail
TK 2134	TK 2134	23/09/2026	10:00	10:00	 G2B	ANKARA (ESB)	Domestic	Scheduled	 Detail
TK 2224	TK 2224	23/09/2026	10:00	10:00	 G1C	GAZIANTEP (GZT)	Domestic	Scheduled	 Detail
TK 2318	TK 2318	23/09/2026	10:00	10:00	 G1H	IZMIR (ADB)	Domestic	Scheduled	 Detail
TK 429	TK 429	23/09/2026	10:00	10:00	 A1F	TATARSTAN (KZN)	International	Scheduled	 Detail
TK 976	TK 976	23/09/2026	10:00	10:00	 A1C	LEFKOSIA (ECN)	International	Scheduled	 Detail
TK 2556	TK 2556	23/09/2026	10:00	10:04	 G10A	MUGLA (DLM)	Domestic	Scheduled	 Detail
TK 1729	TK 1729	23/09/2026	10:10	10:10	 B7A	BERLIN (BER)	International	Scheduled	 Detail
TK 1823	TK 1823	23/09/2026	10:10	10:10	 B13	PARIS (CDG)	International	Scheduled	 Detail
TK 2460	TK 2460	23/09/2026	10:20	10:10	 G2A	CASTELO BRANCO (COV)	International	Scheduled	 Detail
TK 1207	TK 1207	23/09/2026	10:35	10:25	 B18B	ZURICH (ZRH)	International	Scheduled	 Detail
TK 15	TK 15	23/09/2026	10:35	10:25	 A1J	SAO PAULO (GRU)	International	Scheduled	 Detail
DV 486	DV 486	23/09/2026	10:30	10:30	 C4	ONGTUSTIK QAZAQSTAN (CIT)	International	Scheduled	 Detail
TK 1957	TK 1957	23/09/2026	10:45	10:35	 D6	NORTH HOLLAND (AMS)	International	Scheduled	 Detail
TK 2414	TK 2414	23/09/2026	10:45	10:35	 G7A	ANTALYA (AYT)	Domestic	Scheduled	 Detail
A3 991	A3 991	23/09/2026	10:30	10:40	 D5	ATTICA (ATH)	International	Scheduled	 Detail
TK 1943	TK 1943	23/09/2026	10:55	10:45	 A9	FLANDERS (BRU)	International	Scheduled	 Detail
TBZ 6618	TBZ 6618	23/09/2026	10:50	10:50	 B12B	TEHRAN (THR)	International	Scheduled	 Detail
IR 718	IR 718	23/09/2026	11:00	11:00	 B10	TEHRAN (IKA)	International	Scheduled	 Detail
TK 2138	TK 2138	23/09/2026	11:00	11:00	 G11B	ANKARA (ESB)	Domestic	Scheduled	 Detail
TK 2320	TK 2320	23/09/2026	11:00	11:00	 G10B	IZMIR (ADB)	Domestic	Scheduled	 Detail
VRH 6859	VRH 6859	23/09/2026	11:00	11:00	 B12A	TEHRAN (IKA)	International	Scheduled	 Detail
TK 2014	TK 2014	23/09/2026	11:10	11:00	 G3J	KAYSERI (ASR)	Domestic	Scheduled	 Detail
TK 2214	TK 2214	23/09/2026	11:15	11:05	 G10A	ADIYAMAN (ADF)	Domestic	Scheduled	 Detail
TK 2676	TK 2676	23/09/2026	11:15	11:05	 G9B	MARDIN (MQM)	Domestic	Scheduled	 Detail
RO 262	RO 262	23/09/2026	10:15	11:10	 A1G	ILFOV (OTP)	International	Scheduled	 Detail
UT 728	UT 728	23/09/2026	10:15	11:15	 F12A	CHECHNYA (GRV)	International	Scheduled	 Detail
TK 2004	TK 2004	23/09/2026	11:25	11:15	 G9A	NEVSEHIR (NAV)	Domestic	Scheduled	 Detail
A4 5070	A4 5070	23/09/2026	11:20	11:20	 B5A	KRASNODARSKIY (AER)	International	Scheduled	 Detail
ME 266	ME 266	23/09/2026	11:20	11:20	 F5A	MONT-LIBAN (BEY)	International	Scheduled	 Detail
TK 2580	TK 2580	23/09/2026	11:20	11:20		DENIZLI (DNZ)	Domestic	Canceled	 Detail
TK 1411	TK 1411	23/09/2026	11:30	11:20	 F6B	CONSTANTINE (CZL)	International	Scheduled	 Detail
TK 1591	TK 1591	23/09/2026	11:30	11:20	 F12B	HESSE (FRA)	International	Scheduled	 Detail
TK 1871	TK 1871	23/09/2026	11:30	11:20	 F4B	VENETO (VCE)	International	Scheduled	 Detail
TK 1885	TK 1885	23/09/2026	11:30	11:20	 C2	LOWER AUSTRIA (VIE)	International	Scheduled	 Detail
LO 2102	LO 2102	23/09/2026	11:30	11:30	 B8B	LESSER POLAND VOIVODESHIP (KRK)	International	Scheduled	 Detail
TK 1525	TK 1525	23/09/2026	11:30	11:30	 A3	DUSSELDORF (DUS)	International	Scheduled	 Detail
TK 1665	TK 1665	23/09/2026	11:30	11:30		HAMBURG (HAM)	International	Canceled	 Detail
TK 2416	TK 2416	23/09/2026	11:40	11:30	 G3G	ANTALYA (AYT)	Domestic	Scheduled	 Detail
TK 2748	TK 2748	23/09/2026	11:40	11:30	 G1H	VAN (VAN)	Domestic	Scheduled	 Detail
TK 1781	TK 1781	23/09/2026	11:50	11:40	 F13B	CAPITAL REGION (CPH)	International	Scheduled	 Detail
PC 1982	PC 1982	23/09/2026	11:45	11:45	 C3	LEFKOSIA (ECN)	International	Scheduled	 Detail
TK 2540	TK 2540	23/09/2026	11:55	11:45	 G7B	RIZE–ARTVIN AIRPORT (RZV)	Domestic	Scheduled	 Detail
TK 1051	TK 1051	23/09/2026	11:50	11:50		SENCUR (LJU)	International	Canceled	 Detail
SV 266	SV 266	23/09/2026	11:55	11:55	 B1A	MAKKAH (JED)	International	Scheduled	 Detail
