VF 3337	VF 3337	23/09/2026	08:50	08:35		ISTANBUL (SAW)	Domestic	Landed	 Detail
PC 2823	PC 2823	23/09/2026	09:25	09:17		ISTANBUL (SAW)	Domestic	Active	 Detail
TK 4285	TK 4285	23/09/2026	09:45	09:50		ANKARA (ESB)	Domestic	Active	 Detail
XY 842	XY 842	23/09/2026	10:15	10:13		EASTERN PROVINCE (DMM)	International	Active	 Detail
J2 8048	J2 8048	23/09/2026	10:50	10:50		BAKI (GYD)	International	Scheduled	 Detail
PC 3706	PC 3706	23/09/2026	10:55	10:55		CASTELO BRANCO (COV)	International	Scheduled	 Detail
TK 2821	TK 2821	23/09/2026	10:50	10:59	 1	ISTANBUL (IST)	Domestic	Scheduled	 Detail
TK 3325	TK 3325	23/09/2026	11:20	11:20		ISTANBUL (SAW)	Domestic	Scheduled	 Detail
PC 2815	PC 2815	23/09/2026	12:10	12:10		ISTANBUL (SAW)	Domestic	Scheduled	 Detail
TK 5287	TK 5287	23/09/2026	12:30	12:30		MUGLA (BJV)	Domestic	Scheduled	 Detail
RJ 857	RJ 857	23/09/2026	12:35	12:35		AMMAN (ADJ)	International	Scheduled	 Detail
XQ 1340	XQ 1340	23/09/2026	16:05	16:05		DUSSELDORF (DUS)	International	Scheduled	 Detail
TK 2829	TK 2829	23/09/2026	17:00	17:00	 1	ISTANBUL (IST)	Domestic	Scheduled	 Detail
VF 3327	VF 3327	23/09/2026	17:00	17:00		ISTANBUL (SAW)	Domestic	Scheduled	 Detail
XY 360	XY 360	23/09/2026	17:00	17:00		AR RIYAD (RUH)	International	Scheduled	 Detail
PC 2825	PC 2825	23/09/2026	17:50	17:50		ISTANBUL (SAW)	Domestic	Scheduled	 Detail
VF 3329	VF 3329	23/09/2026	18:20	18:20		ISTANBUL (SAW)	Domestic	Scheduled	 Detail
PC 3241	PC 3241	23/09/2026	18:50	18:50		IZMIR (ADB)	Domestic	Scheduled	 Detail
TK 2833	TK 2833	23/09/2026	18:50	18:50	 4	ISTANBUL (IST)	Domestic	Scheduled	 Detail
XY 632	XY 632	23/09/2026	19:05	19:05		MAKKAH (JED)	International	Scheduled	 Detail
XY 306	XY 306	23/09/2026	19:55	19:55		AR RIYAD (RUH)	International	Scheduled	 Detail
TK 2835	TK 2835	23/09/2026	20:30	20:30	 1	ISTANBUL (IST)	Domestic	Scheduled
