Airline	Flight No	Date	Scheduled	Estimated	Gate	Arrival	Location	Status	Detail
VF 3337	VF 3337	22/09/2026	09:10	09:27		ISTANBUL (SAW)	Domestic	Landed	 Detail
PC 3241	PC 3241	22/09/2026	09:35	09:35		IZMIR (ADB)	Domestic	Scheduled	 Detail
VF 4285	VF 4285	22/09/2026	09:45	10:06		ANKARA (ESB)	Domestic	Landed	 Detail
PC 2815	PC 2815	22/09/2026	10:25	10:08		ISTANBUL (SAW)	Domestic	Active	 Detail
TK 2821	TK 2821	22/09/2026	10:50	10:51	 1	ISTANBUL (IST)	Domestic	Active	 Detail
PC 3706	PC 3706	22/09/2026	11:35	11:35		CASTELO BRANCO (COV)	International	Scheduled	 Detail
PC 2813	PC 2813	22/09/2026	12:15	12:15		ISTANBUL (SAW)	Domestic	Scheduled	 Detail
VF 3325	VF 3325	22/09/2026	12:35	12:35		ISTANBUL (SAW)	Domestic	Scheduled	 Detail
XQ 7619	XQ 7619	22/09/2026	13:15	13:15		ANTALYA (AYT)	Domestic	Scheduled	 Detail
XY 360	XY 360	22/09/2026	13:55	13:55		AR RIYAD (RUH)	International	Scheduled	 Detail
TK 3327	TK 3327	22/09/2026	15:05	15:05		ISTANBUL (SAW)	Domestic	Scheduled	 Detail
TK 2829	TK 2829	22/09/2026	16:15	16:15	 5	ISTANBUL (IST)	Domestic	Scheduled	 Detail
PC 2817	PC 2817	22/09/2026	16:45	16:45		ISTANBUL (SAW)	Domestic	Scheduled	 Detail
VF 3329	VF 3329	22/09/2026	18:30	18:30		ISTANBUL (SAW)	Domestic	Scheduled	 Detail
TK 2833	TK 2833	22/09/2026	18:50	18:50	 4	ISTANBUL (IST)	Domestic	Scheduled	 Detail
XY 842	XY 842	22/09/2026	19:05	19:05		EASTERN PROVINCE (DMM)	International	Scheduled	 Detail
XY 306	XY 306	22/09/2026	19:20	19:20		AR RIYAD (RUH)	International	Scheduled	 Detail
XY 640	XY 640	22/09/2026	19:55	19:55		MAKKAH (JED)	International	Scheduled	 Detail
TK 2835	TK 2835	22/09/2026	20:30	20:30	 1	ISTANBUL (IST)	Domestic	Scheduled	 Detail
TK 4291	TK 4291	22/09/2026	20:40	20:40		ANKARA (ESB)	Domestic	Scheduled	 Detail
TK 4607	TK 4607	22/09/2026	20:55	20:55		MUGLA (BJV)	Domestic	Scheduled	 Detail
PC 2819	PC 2819	22/09/2026	21:05	21:05		ISTANBUL (SAW)	Domestic	Scheduled
